Label,Tweets
Negative,Adam fasýk abi görüþüde gayet net diðerleri gibi kancýk deðil 
Positive,Bu sapýk þerefsiz
Positive,her hale þükür gerek
Negative, Sizin de sizi destekleyenlerin de size ses çýkarmayanlarýn da Allah bin türlü belasýný versin Hepinizin caný cehenneme 
Positive,allahým murat nasýl tatlýsýn yicemm
Positive,Bu tagý açanlarýn beynini arýyorumdur
Negative,kafaný sikim bayan 
Negative,lan dünkü bok sen ne cibiliyetsiz bir þeymiþsin be doðarken senin kulaðýna üç kere karaktersiz mi dediler anlamý
Negative,senin gibi sürtük az bulunur
Negative,tudor kina yaksin gotune her zaman ayni hatalar olurmu kahpe seni bi siktir git
Positive, Allah melekler ve ilim sahipleri ondan baþka ilah olmadýðýna adeletle þâhitlik ettiler ondan baþka ilah yoktur
Negative,sanada günaydýn amcýk günüm çok iyi senin nasýl
Negative,Sil sunu götlek 
Negative,hay allah senin çenesini kapatsýn artýk ya bu kadar angut bir adam olamaz
Negative,Ya sikem tribinizi ece ile kavga ettik diye atýn aq yazmýyom amk 
Positive,çünkü sen gözümün nurusun
Negative,Lan gerzek oradaki aptallardan dolayý sen tüm camiaya fetöcü diyorsun ve o adamlarla kazanýlan kupalara da fetöyle kazandýnýz demek ayrý bir salaklýk bu adamlar Türk futbolunun en iyi forvetlerinden ama maalesef þerefsiz çýktýlar siz sanki bu adamlara fetullah top oynamayý 
Positive,hasankeyf'i yok eden ýlýsu barajýnda tekne taþýmacýlýðý baþlýyor.
Positive,Hava çok berbat ya yok böyle sýcak tatile gidip geleyim hemen kýþ gelsin
Negative,az kültürünüzü geliþtirin amk öküz açýn 2 kitap okuyun misal metal fýrtýna zar adam
Positive,"Sonynin geçen sene tanýttýðý Reon Rocket isimli giyilebilir klima sonunda satýþa çýktý. Özel tshirtü sayesinde vücut sýcaklýðýný 8 derece azaltabilen ürün 120 dolardan, tshirtü ise 20 dolardan satýlýyor"
Positive,ben her ilkbahar aþka aþýk olurum yazýn aþýk olduðum aþkla karþýlaþacaðýma inanýrým sonbaharda ise dökülen yaprak
Negative,ibrahimin oðlunu koruyan Tanrýya da ben sokayým
Positive,ay üzülmüþ bir de kýyamam. senin bir parçasý olduðunu kapitalizmin getirdiði yýkýmdan
Positive,güzel olan her þeyden daha güzelsin 
Positive,0islam siyasi meseleleri insanýn sorumluluðuna býrakmýþtýr mevcut koþullarda yapýlabilecek en iyi iþlerden birisi adalet
Negative,bir erkegin kýzlara karþý yalaka olacak her sözüne sensin diyecek ara sýra güzel olduðunu söyleyecek yoksa bir iþe yaramazsýn
Positive,Ýslamiyetten eski eserin orjinali cami miymiþ 
Negative,Bütün kýþ ve pandemi boyunca Netflix izleyen hamdullah isimli arkadaþým eþini boþayýp çocuðunu geride býrakýp Amsterdam da john ile evlendi çok üzgünüm her þey o ilk ay bedava ile baþladý allah seni kahretsin neksfiliz 
Negative,sana tecavüz edecem bekle sen
Negative,Eee siktir git pezevenk o zaman 
Negative, Bir Þizofren Âyasofya câmii de Kâmera Karþýsýnda Namaz Kýlamam Demiþ Öteki de her gün cuma kýlarým Demiþ 
Positive,Hayýrlý iþlerin ceremesi çok olur elbette. Allah rýzasý için yapýlan iþlerde engeller hep vardýr. Önemli olan engele raðmen hayýr yapabilmek
Negative,sana mý soracaktý lan kaltak
Positive,müziðin her notasýný ruhunun en derininde hissetmek
Positive,Aile yapýsýný yýkmak istiyorlar diyoruz ama duyan kim? 
Negative,Stresliyim iki komik tweet okurum diye geri geldim bok gibi gündem gidicem yine sokam bu hayata artýk ama býkdýk 
Negative,farkýndalýk yaratýcam diye iyice orospu çocuðu oldunuz çýktýnýz
Positive,üstadýn ifadesiyle yeryüzünde adalet varsa bu kararý red ve bu hükmü nakzedecek bozacaktýr
Positive,minibüste 2 metre bir çocuk vardý yanýmda bütün yol kafama burnundan soludun neye sinirliydin bilmiyorum ama umarým
Positive,Fakat þu an çok güzel esiyor
Positive,yalnýz gülsevimin herþeyi yiyen ve herþeyi yapabilen çocuklarýný çok merak ettim hani þu annemizin babamýzýn
Negative,lüks yaþam bu mu ulan gerizeka lüks hayatlarý olsa o poþetleri taþýyan hizmetçileri olurdu amerika 
Positive,Ýnsanýn içi kýpýr kýpýr 
Positive, ozlemyildiz Kafanýzdaki soru iþaretini giderecekse söyleyeyim Pýnar bu adamla sevgiliyken evli olduðunu bilmiyormuþ öðrendikten sonra hemen ayrýlmýþ Fakat bildiðiniz üzere adam peþini býrakmamýþ ve korkunç olay vuku bulmuþ 
Positive,engelli sürücüye ayrýlan alana park eden sürücünün arabasýnýn üstünü kullanarak baþarýlý bir sanat eserine imza atmýþlar
Negative,bununla mutluluk duyup Allah a hamd etmek yerine Allah ýn verdiði kudretle bir ülkenin baðýmsýzlýðýný ve özgürlüðünü kazanmasýnda liderlik eden Mustafa Kemal Atatürk e alçakça hakaret edenler bu ülkenin kanser olan organýdýr 
Negative,Þerefsiz haysiyetsiz herif... Millete namus bekçiliði yapmaya bayýlan bu kiþilerle  sapýk zihniyetli istismarcý kiþilerin ayný olmasý büyük ironi
Positive,Allah razý olsun 
Positive,bilgi ben niye kudurayým böceðim gayet mutluyum basýmda dert yok 
Negative,skim senin yapacaðýn iþi
Positive,I m at Salon O N Saç Dizayn 
Negative,tepki vermek lazým bu nihat soytarý
Positive,çikolata þelalesine kafayý gömmüþ bi gün olmasýný isterdim ama bende de öyle
Negative,Evet caným domal lira haritaný çýkarcam eðitimini aldým ben bunun skdmskdmdm 
Positive,Ama aç azgýn Köpek balýklarýydý parçaladýðý Bak Tiber saygýlý suskun 
Negative,lan dombili az çakal deðilsin þerefsiz
Positive,ýyi bebekler ne la 
Positive, Giyim kuþam görünüm mal mülk Hepsini geç hepsini Hayatýma giren adama Seni Seviyorum dediysem eðer En kralý gelse 
Positive,Düþe kalka büyüyorum iþte 
Negative,Zýkkým ye orospu çocuðu ne istedin bebiþlerden
Positive,Diþ fýrçalamayý býrakýn önce diþ macunu kireçlendiriyor baþka çözüm bulun þebek suyu asla içmeyin
Negative,ya lanet olsun ben online oyun oynarken youtube veya instada video izlemeyin ping atýyo aq
Positive,harezmî eðitim modelimiz türkiye birincisi oldu hayýrlý olmasýný diliyorum
Negative,sözde  akademisyenin ahlaksýz vicddansýz
Positive,iyi iyi aman olmasýn zaten 
Negative,her biri aþagilik birer militansoytari yurtdisina kacip burada ki enayilere gaz veren hainler
Negative, CHP Yunan dostlarýna meselesini nasýl anlatacaklarýný kararlaþtýrmak için Parti Meclisini acil olarak toplan 
Positive,"Evleniyorsun, balayýna gitmiþsin, eþin þey diyor Nörolojide teþhis iyi de tedavi yok aþkým."
Positive, Eþeðin cebindeki kuzulara kalbimi býraktým 
Negative,sembolikde olsa kralý kraliçesi prensi prensesi arþidükü olan ülkeler orospu çocuðu ülkelerdir
Positive, Yasa deðiþmediði sürece bu adam mala zarar vermek ten yalnýzca para cezasý alacak
Positive,ya sadece avucunu öpüyo ya avucunu 
Positive,bir ateist olarak bu resmi gördükçe gözyaþlarýma mani olamýyorum
Negative,yuru git lan yalanci kevase
Negative,Seye cok gulmustum sey demisti hani götlek hem de
Positive,bi uyandým ölmüsüm günaydýn 
Positive,Verilerimiz yurtdýþýnda depolanýyor
Negative,senin gibi karýlar tecavüzü de hakeder herþeyi de hakeder
Positive,ben diyetteyim çikolata yiyemiyom isteðim benim yerime kendin bi çikolata ye
Positive,Oda tv senin efendilerine mesaj veriyor diyor ki ben burdayim sýkýysa gelin 
Positive,caným maþallah çok güzelsin ya gurban olduðum ya
Positive,gunduz vakti de iþe gitmek bombok olay ak
Positive,Beni beðeneni ben beðenmem benim beðendiðim ise beni beðenmez yoksa ben tipsiz miyim ha 
Negative,Sitenin adresini versin Allah için gelip o kadýný Bi komaya sokayým ben 
Negative,bu kadýn aðlayarak malý götürenlere en güzel örnek 
Negative,deyyus u ekber
Positive,Yav uþaum heç me izlemedun o videoyu
Positive,harikasýn bugün kankiþ
Negative,Þu sýfata bakýn þeytan görse salavat getirir
Negative,yalaka orospu ultraslan hala tudor un yanýndaysanýz sizinde allah belanýzý versin sucuk ekmekçi pezevenk
Negative,iyi insan olmanýn verdiði iç huzur ve bu huzurun anasýný siken kötü orospu çocuklarý
Positive,öldüðünüz zaman bunun farkýnda olmazsýnýz bu sadece çevrenizdekileri üzer ayný þey aptal olduðunuzda da geçerli
Positive,camide ibadet dünya nimetlerini unutup ahir dünya allah sevgisi ile ilgilenmekdir
Negative,inatlastiginda fena yoruon duygusal topsun kesin sorcan bana hangisi benim diye kafan sokim 
Positive,çooook çalýþýn kartallarrr çooook
Positive,Tarihi 'Yeþil Kuþak' projesi ile öðrenen geriler hala Ýnönü döneminde halk açtý diyorlar.
Positive,"Evleniyorsun, balayýna gitmiþsin, kahvaltýda eþin þey diyor; ""Ben çok araþtýrdým, aþýlarda domuz denasý varmýþ."""
Negative,iðrenç bir insansýn sen
Negative,sanýrým yeterince yobazlýk yapamýyorsunuz diye sevmiyorsunuz
Negative,Babasýný da sikeriz ne var
Positive,git kelimesinin böyle algýlanmýþ olmasý çok üzücü
Negative,Sakalýna sokam senin Sosyal medyanýn kýsýtlanmasýna ramak kalmýþ yok bakanlýk harýl harýl tersine beyin göçü için çalýþýyormuþ Hasssiktir oradan 
Negative,Bunun gibi cani sapýklarý istemiyoruz 
Positive,bau týp öðretim üyemiz prof dr timur gürgan ýn baþarýsý tebrikler hocam
Positive,10 saatlik reklam koymuþlar bu avengersa yetti ulan skip yapamýyor mu bu sinema görevlisi
Negative,kim bu yalaka babasina sarilmamistir bu kadar bu yalama kimi temsilen orada
Negative,al benden de o kadar  herkesi kendi gibi dönek sandýðýndan adamlara bi de antrenman yaptýrdý ya
Negative,embesil gerizeka anlatmak istediðimi hala nasýl anlamýyosun 
Negative, abe sokam böyle ayata bea 
Negative,Evet bir kiþi o ölsün gerisi düzelir 
Negative,Oylama varken öyle deðildi ama aq dönekleri Siktir git pezevenk 
Positive,"8 yýllýk bir falcý olarak falýna baktýðým insanlardan bilgi alarak fal bakmam sebebi ise bilgi alarak herkes bakabilir, esas olan þey bilgisiz bir þekilde hissederek fal bakmaktýr"
Negative,furki aþkýmla o hostes olcak orospu gececi ve bilin bakalým kim sabahçý
Negative,Salak karý Saçýný sarýya boyamasaydý keske 
Negative,yallah köyünüze bu ülkede size yer yok
Positive,Güzel insandý. Cesurdu. Tabularý yýktý. Bu yayýnlarý anýmsatanlara çok teþekkür ediyorum.
Positive,Hamile bir köpeðin röntgeni
Positive,"2012 den beri yanýndayým, hep de öyle olucak... Yüzündeki gülümseme eksik olmasýn caným çocuk. Hayatýmý gökkuþaðý gibi renkli yaptýn sana minnettarým... Hiçbir zaman yalnýz deðilsin olmucaksýn YANINDAYIZ.."
Positive,aman allahým bu ne güzel bir þey
Positive,doðum günün kutlu olsun björk bebeðim
Negative,Öyküyü sikim enayisine sokum
Positive,Sakarya'da havai fiþek fabrikasýnda patlama: Ýçeride 150-200 kiþi var!
Positive,"Kadýn rolü yaptýðým videolara hep bu tarz yorumlar geliyor. Tamamen kadýn rolü yaptýðým bir kanal açsam, bir ayda milyon aboneye çýkarým herhalde."
Negative,amk salak yapay zekasý
Positive,Balkonda oturmayý sevmeyen insanlarýn samimiyetine güvenemiyorumm 
Negative,En fazla yarrak denk gelir oda benlikk
Negative,ermeni tohumu olduðun için olabilir
Positive,aþifte deðilim ya malesef ayrýca fotolarýný baya gördüm ben senin  uyarý için geç kaldýn
Negative,sevmiyorum aþaðýlýk herifin teki oyuncusuna yatarak vakit gecirten hoca iyi olamaz fýrat bey
Positive,"Gerçek olmasa bile yalanlamak ne kadar doðru? Sonuçta burada söz konusu olan geleceðimiz, çocuklarýmýz"
Negative,vucudunu gelistirecegine once beynini gelistir orospu cocugu
Positive,günde en az üç þeye teþekkür etmeyi öðrendiðimden beri aþýrý mutluyum
Positive,Ben senden sonra izlemiyorum sahi senden iyisi var mý Hoþ Geldin Sercan Yýldýrým 
Negative,Bu sikikler dövme yaptýrdý diye dinine düþkün olamaz falan sanýyor amýna koyduðum götveren çomarlarý
Positive,Bakýn arkadaþlar Okan abi ye laf yok gerçekten çok seviyorum Allah biliyor Fakat a spor u beþiktaþ lý olanlar izlememelidir Çünkü bjk ye ihanet edemezsiniz ha Okan abi kendine kanal açsa veya trt spor da çýksa ekran baþýndan ayrýlmam 
Negative,bak senin peþindeyiz sana söz veriyorum yakalandýðýnda yerlerde sürünerek hesap vereceksin 
Negative, Bazýlarýnýn yüzüne `` MAL BOKU diye baðýrýp kaçasým var 
Negative,kudurun 
Negative, neyse gidip de yuvasýný yýktýðým adamla öpüþeyim
Positive,Bekle yapýyorum sýrayla geleceðim sana da
Positive,Kiyamadým 
Positive,Garip bir adam olduðunu biliyoruz. Ama öyle iþler baþarmasý için normal olmamasý gerekiyor.
Positive, Köpeðe þehvet duymak köpekle cinsel iliþkiye girmek nasýl bir sapkýnlýk derecesidir Köpeðe bunu yapan yarýn tenhada karýna kýzýna saldýrýr
Positive,Yanlýþ yanlýþ lü oylama olacakmýþ yasin gider yarýn 
Positive,Erdoðan ne koydu ama Ayasofya artýk bizim þimdi sýrada bütün yunan topraklarý 
Negative,pezevenk sýnavdan 40 almýþsýn diye hayatýn dramýný yaratýp süslü püslü cümleler kuruyorsun gören de ölümcül hastalýða yakalandýn sancak
Positive, Bir meyhane reklamý ancak bu kadar mükemmel yapýlabilirdi 
Negative,Siktir lan hadi küfürsüz iletiþim kuramayan götlek 
Positive,Ne öðrettiler
Negative,bu kadar embesil mal olmak icin ozel caba gerekiyomu diye sormak istiyorum ama tutucam kendimi bu sefer
Positive,Ulan yanýmda olsan bir mýncýrýrdým seni. Hoca daha ne yapsýn? Çok hoþ bir soru. Yanýtý belli.
Negative,bende umarýmgerizekali bide bize kýzýyor doðru söylediðimiz için bize blok ettiama doðru
Positive,Amerika yerlileri ve Polinezyalýlarýn 13. yüzyýlda Pasifik Okyanusu aþtý
Positive,Cemal Cana sistematik olarak tanýdýk arkadaþlarýna söyleyip  olumsuz haberler yaptýranlar oluyor
Negative,ya bi sus amcik
Positive,36 tl bayýldýðým lab föyümün nerede olduðunu bilmiyorumdur
Negative,allah kahretsin bu zihniyettekileri
Negative,guzman aptal mýsýn sanki biraz 
Positive, Gördüðü þiddeti maskeleyen milyonlarca kadýndan biri ailende akrabalarýnda apartmanýnda mahallende okulunda aynada o 
Positive,Bende salak gibi gözümü falan kaçýrýyorum ne malmýþým beee
Positive,Biri 5 biri 3 yaþýnda iki kýz kardeþ geldi. Büyüðü ayaðýný burkmuþ muayene ettim. Küçüðün hiçbir þeyi yok ama mecbur onun da ayaðýný muayene ettim kýskanmasýn diye yapcak biþey yok. Týp kitaplarý yazmaz eksik iþ yapmýþ olursunuz.
Positive,bu adam kaç aydýr boþa linçleniyor aq moodum budur bugün
Positive,çay koyayým içelim
Positive,15 dönüm meyve bahçem var anýnda satarým
Negative, Türkiye nin bu bölgede en büyük düþmani kancýk yönetimidir Suriye Irak Yemen lübnan Azerbaycan dahil karisikli 
Positive,gerger imam hatip lisesi nde 3 yýl boyunca 18 erkek çocuða tecavüz edilmiþ
Negative,iþsiz olup tek yaptýðý dm den kýzlara yürüyen yavþak tipli andaval olmaktansa  saðlýklý kültürlü zeki ve oturaklý olurum
Negative,Düþünsene þu an orada tezgahtarsýn adam bunu yapýyo ne dersin Ben abi yapacaaan iþe sokam git düzelt derim son iþ günüm olur ama derim 
Positive,Atýyorlar zaten
Negative,Baþak burcunu sikem 
Positive, Ülkede normal bir þey konuþamaz hale gündemi takip etmeye korkar olduk
Positive, Türkiye yi çöplükten adaletsizlikten kadýn haklari ihlalinden nasýl kurtardýðýný gördük 
Negative,100 yil sonra mesaj atma sikerim belani
Positive,bazý insanlar þükür sebebi olabiliyorlar sen en baþta yer alýyorsun
Positive,"Pýnar Gültekin'in katili Cemal Metin Avcý'nýn ailesi, haberlerin engellenmesi için gizlilik talebinde bulundu "
Positive,selamun aleyküm hayýrlý sabahlar bereketli hayýrlý cumalar olsun inþallah daha huzurludaha mutlu daha güçlü nice günler
Positive,Düðünler korona önlemli baþladý... Kurallara uyanda oldu uymayanda.
Positive,Hicbir ulke besleme yunan icin turkiyeyi dislamaz 
Negative,o kazandýðýmýz kupa varya onu götünüze sokim bi rahat durun be kuduruklar 
Positive,Sporun güzellikleri
Negative,pis yobaz allah belaný versin
Negative,Ananý bile sikeriz ihtiyar bak dalgana
Negative,Beynine sokam senin yaw 
Positive,ne mutlu ak partili olana  ne mutlu kutlu davaya gönül verene
Negative,kafaný kesmeme az kaldý
Positive,Ýki gündür bulunamadý!
Negative,Ülkemde kudurup çatlamadan durun durduðunuz yerde
Negative,Þu hayatta sevmediðim bir kaç sayýlý insan vardýr ama #AtatürküSevmiyorum birinci sýrada yerini korumaktadýr.
Negative,Bu tür insanlarý fenomen yaptýnýz Sosyal medyada milyonlarca kiþi bunlarý takýp ediyor yaptýklarý þeyler gerçekten utanç verici üzülerek söylüyorum gerçekten Türkiye de sözde okul okumuþ üniversiteyi bitirmiþ kiþiler beyinleri yýkanmýþ cahildirler 
Positive, onun bunun bilmem kimin fedaisi olacaðýnýza bi kendiniz olun da görelim bilelim tanýyalým kimsin necisin be bilirsin ne söylersin önce bi de hele açmýsýn ekmeen köþesine peynir koyam yersin 
Positive,"Arya, ses kayýtlarýný paylaþtýktan sonra prim içim diyenlere bu cevabý veriyor. Peki soruyorum sizlere. Biz Arya'nýn da dediði gibi adýný tecavüz edilip öldürülünce mi duyacaðýz gerçekten?"
Positive, her þeyden uzaklaþmak isteyip en fazla balkona çýkabilmek 
Negative,slm kaan purofilindeyim aþalýk köle parlak pasif arayýþým itahat edicek saybine zevk verirken zevk alýcak bir göt veren arýyorum igilelenler mesaj atsýn aþalanmaktan sýnýrsýz küfür yimekten hoþlananlar 
Negative,bebeðin ölür inþallah
Positive, Saat Paralel baro yasasý mecliste AKP ve MHP oylarýyla kabul edildi Tarih sizi affetmeyecek 
Negative,tam lavuk yaa  hergün telefonla tvit salla atlara git sonrada gider yap neyin peþindesin amq zormuþ
Positive,Ocak ayýnda geçirdiði gribin korona olduðunu iddia edenler derneði kurmak istiyorum.
Positive,yüksek lisansda baþarýlý olduðumu söyleyemem ama yüksek lisansý bitireceðime yürekten inanýyorum
Positive,Aman dikkat Libya'da oyuna gelmeyelim Birileri Türkiye'yi Rusya'yla savaþa itiyor
Negative,kime koyam 
Positive,2 2019 da oyumu daha kaliteli bir demokrasi baðýmsýz yargý insan haklarý devlet gününün kýsýtlanmasý ve kontrolü
Positive,Takma saç takýp saçlarýmýn uzun haliyle aþk yaþadým saç uzatma duasý falan bilen var mý 
Positive,i zmir büyükþehir belediyesi nin sokak hayvanlarýna yardým eli uzatmak için oluþturduðu sokak hayvanlarý acil müdahale ekibi ni yeni araçlarla güçlendirdi son bir yýl içinde saðlýk sorunu yaþayan bin sokak hayvaný iyileþtirildi 
Negative,Anasini bile sikerler  sikeriz. O yüzden hic kimse bosuna elestirmesin
Negative,Teröre tek çare yakaladýðýnýn ya kafasýna sýkacaksýn ya da Böyle sallandýracaksýn 
Negative,Ben en olup olmadýk yerde birden `` seni öldürürüm diyorum ya karþýlýk da `` öldüremezsin bi beþ dakika öldürürüm öldüremezsin þeklinde devam ediyor 
Positive,od ama bida andaval deme uzuluyorum i geceler
Positive, Sýcak deniz tadý ve kokusu almýþ Rusya kan kokusu almýþ katil balina gibidir Petrol ve doðalgaz kokusu almýþ ABD
Positive,okumadýðý halde her ders masasýnýn üzerinde en az iki okuma kitabý bulundurarak ben çok kitap okuyorum imajý vermeye çalýþan çocuk
Positive,Yolda yürürken direðe çarptým Ve dedimki senin ne iþin var burda evimin direði çocuklarýmýn babasýý 
Positive,ilahi adalet yerini bulacak algýlar kötü niyetler art niyetler su yüzüne çýkacak
Positive,Eþini aldatan dövüp hapseden vekil Akrabasý olan evli bir kadýna kahve içme bahanesiyle tecavüz eden bir vekil ve olayý kapatan kadýnlar Bir genç kýzý canice öldüren evli bir adam Yok edilen deðerlerimiz annelik ve kadýn Tesadüf olamaz hepsinin arkasýnda bir zihniyet var 
Positive,Çaðatay Muhafýz felaketinden sonra proje seçerken ince eleyip sýk dokuyor galiba 
Positive,iki kiþi arasýnda kalýnca þiþko olaný seçiyorum sürekli çünkü þiþko olan þiþko diye zaten üzülmeye meyilli bari ben üzmeyeyim
Positive,Almanya da trende adam gelip sana biletin var mý diye soruyor Herkese sormayabiliyor ama sana soruyor Herif beni potansiyel suçlu mu ilan etmiþ oluyor Herkesi her an arayamazsýn sýk da arayamazsýn ama az aradýðýnda aranma korkusu caydýrýcýlýk yaratabilir Güvenlik gibi bir 
Positive,Aslýnda zorunluluk hissettim.Son yýllarda öldürülen kadýnlarýmýzýn tamamýna yakýnýna davada müdahil olduk. Çocuklarýna destek olduk.Mahkemelere gittik.Hala da gidiyoruz. Ne bileyim sanki söz hakkým olduðunu düþündüm. Fikirlerimi söyledim. Ama zamanlama hatalýydý diyebiliriz.
Negative,Bunlarýn dýþýndakiler çöp
Positive,günaydýn. sürdürmek için kendiniz olmaktan vazgeçtiðiniz hiçbir iliþki size iyi gelemez. buna toplumla kurduðunuz iliþki de dahil.
Negative,O askere vuran elleriniz ayaklarýnýz felç olurda ömrünüz boyunca sürünür acýlar içinde can çekiþerek geberirsiniz inþ 
Positive,Marifet sarýlmakta deðil sarýlýp býrakmamakta Ýlahi adalette zaman aþýmý yoktur Zorsa sev ama sevmiyorsa zorlama 
Positive,Havai Fiþek ne lan; hem görgüsüz iþi hem de uçan kuþa  çevreye zarar.
Negative,kapatýlacak olan sosyal medyalardan dolayý..olur da tiktok'a baslarsam..böyle ulkenýn amýný tipini sikiyim hersey bitti artýk :((
Positive,Ayný þeyi bende düþündüm allah affetsinxksjxajxjajxjajxjajzjsjsjanzznz 
Positive,Abi çok iyi emeðinize saðlýk 
Negative,Katiller þerefsizler
Positive, Pýnar Gültekin isimli gencecik masum bir kýz barýþmak istemedi diye vahþice katlediliyor naaþý varille taþýnýyor âilesi 
Positive, Üzerinden ne kadar zaman geçse de unutmayacaðýz 
Negative,Allahsýz yezitler
Negative,iki sevgi gösterisinin köpeði olmuþsunuz 
Negative,soysuzluk zor zanat tabi
Positive,Yüzleþmeye az kaldý þurada. Vakit buldukça eski bölümleri izleyip dikkatimi çeken yerleri kaydediyorum
Negative,hakedeni hayatýma sokarým haketmeyenin hayatýna sokarým
Positive,Yaþýn deðil yaþadýklarýn öðretir sana hayatý.
Positive,hepinizin bildiði gibi konfüçyüsün þöyle bir duasý vartanrým bir ev dolusu kitap ile bir  bahçe  dolusu çiçek ver
Negative,tam bir aþifte yemin ederim
Positive,Seninle þöyle olabilirdik aptal kedilercandýr 
Negative,orospu çocuklarý ya iðrenç resmen
Positive,45 dk sonraki sýnavým için gereksiz rahat ve Bi o kadar da heyecanlýyým. Tivit bu kadar.
Positive,Hocam bu ABD ne yapýyor Vatandaþtan vergisini gayet iyi alýyor Amazon gibi bir devden aldýðý vergi trajikomik 
Negative,Exatlon futkan okum cenabet mi gittin oralara bi insanýn her cezada baþýna bi þey mi gelir tam bir ergen ibne
Negative,sen kiz ya da erkek ol takiplemeye devam et tamam mi bebegim yuzsuz orospu cocugusun sen onlara ses cikarmazsan seninde anani sikeyim 
Negative,"Tamamý yandaþ, liyakatsiz ve özellikle karþý cinsle iletiþim konusunda ezik olan bir grubun neredeyse sýnýrsýz yetkiye donatýlmasý büyük hataydý."
Positive,layýk olduðunuzla yönetilirsiniz   hadisi islamdaki demokrasi anlayýþýnýn özüdür sözüdüryaþasýn demokrasi
Negative,Senin bana atmayan kalbin dursun
Positive,"Amacý belli olamayan bi eklenti, amatörce düzenlenmiþ ve maðduriyete odaklý sýnav sistemi"
Positive,Acun bizle oynama ne kadar manyak olduðumuzu her kes biliyor Seni bile zýplatýrýz barismuratyagci 
Positive,"Dünyanýn hiçbir ordusunda yüreði seninkinden daha te­miz, daha saðlam bir askere rast gelinmemiþtir."
Negative,Yarrak 2 side yaptý orospu evladi seni 600m borç var basketin yaptýgý max 20 30 senin kafaný sikim
Negative, srdrdeger Bunlarýn düzenine sokayým 
Negative,o çocuklar da mevsimlik iþçi zaten... gelmiþ geçmiþ en þuursuz eðitim bakanýsýnýz
